INST CODE,INSTITUTE NAME,PLACE,DIST,COED,TYPE,YEAR OF ESTB,BRANCH,BRANCH NAME,OC BOYS,OC GIRLS,BC_A BOYS,BC_A GIRLS,BC_B BOYS,BC_B GIRLS,BC_C BOYS,BC_C GIRLS,BC_D BOYS,BC_D GIRLS,BC_E BOYS,BC_E GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,TUITION FEE,AFFILIATED
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,BME,BIO-MEDICAL ENGINEERING,35536,47645,72829,77856,64685,64685,35536,47645,84505,84505,35536,47645,71938,72769,54234,79397,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,CHE,CHEMICAL ENGINEERING,23743,25632,84281,84281,58492,67255,23743,79364,29003,31295,73041,73041,80605,80605,64503,81903,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,CIV,CIVIL ENGINEERING,23612,24973,84270,84270,40435,79220,43976,43976,43961,70211,50806,70528,66252,71358,44848,44848,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,CSB,COMPUTER SCIENCE AND BUSINESS SYSTEM,8249,8249,42629,63496,13086,13121,8249,8249,16187,16187,19648,19648,69672,79936,49224,49224,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),6524,6872,26007,26007,11040,12871,27897,27897,10387,13492,6524,29225,52690,52690,43724,72049,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,CSE,COMPUTER SCIENCE  AND  ENGINEERING,5996,6475,20077,20077,10380,10815,23460,32397,9819,12298,16637,18707,35113,35113,26153,31376,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,CSM,COMPUTER SCIENCE AND ENGINEERING ,5807,6195,24541,24541,10030,11360,5807,6195,9292,10929,16456,29028,52632,58609,56886,56886,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,9685,9828,40818,49248,17427,17777,34249,34249,16999,16999,37884,41654,54724,58723,34724,66166,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,15878,16263,49764,61114,30497,30641,15878,16263,29592,30823,24427,55092,60632,60969,39011,54779,120000,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,1997,INF,INFORMATION TECHNOLOGY,7983,8310,31388,31388,12631,14343,65381,65381,13389,13389,25271,25271,56920,56940,36507,52967,120000,JNTUH
